 State/Union Territory,1991 Persons,1991 Male,1991 Female,2001 Persons,2001 Male,2001  Female,2011  Persons,2011  Male,2011  Female,2011 Rural Male,2011 Rural Female,2011 Rural Persons, Urban Male,2011 Urban Female,2011 Urban Persons,Total change 91-01,Total change 01-11,Rural-Urban change 2011
India ,52.0,64.0,39.0,65,75,54,74,82,65,82.0,66.0,75.0,91.0,82.0,87.0,25.0,13.846153846153847,16.0
 Andhra Pradesh,44.0,55.0,33.0,61,70,50,68,76,60,70.0,52.0,61.0,86.0,75.0,81.0,38.63636363636363,11.475409836065573,32.78688524590164
 Arunachal Pradesh,42.0,52.0,30.0,54,64,44,67,74,60,69.0,54.0,62.0,89.0,79.0,85.0,28.57142857142857,24.074074074074073,37.096774193548384
 Assam,53.0,62.0,43.0,63,71,55,73,79,67,77.0,64.0,70.0,92.0,86.0,89.0,18.867924528301888,15.873015873015872,27.142857142857142
 Bihar,38.0,51.0,22.0,47,60,33,64,73,53,72.0,51.0,62.0,84.0,72.0,79.0,23.684210526315788,36.17021276595745,27.419354838709676
 Chhatisgarh,43.0,58.0,28.0,65,77,52,71,81,61,78.0,55.0,67.0,92.0,78.0,85.0,51.162790697674424,9.230769230769232,26.865671641791046
 Goa,76.0,84.0,67.0,82,88,75,87,93,82,92.0,77.0,84.0,93.0,85.0,89.0,7.894736842105263,6.097560975609756,5.952380952380952
 Gujarat,61.0,73.0,49.0,69,80,58,79,87,71,83.0,62.0,73.0,92.0,82.0,88.0,13.114754098360656,14.492753623188406,20.54794520547945
 Haryana,56.0,69.0,41.0,68,79,56,77,85,67,83.0,61.0,73.0,89.0,76.0,84.0,21.428571428571427,13.23529411764706,15.068493150684931
 Himachal Pradesh,64.0,75.0,52.0,77,85,67,84,91,77,90.0,75.0,83.0,94.0,89.0,91.0,20.3125,9.090909090909092,9.63855421686747
 Jammu & Kashmir,59.0,69.0,48.0,56,67,43,69,78,58,76.0,53.0,65.0,85.0,70.0,78.0,-5.084745762711865,23.214285714285715,20.0
 Jharkhand,41.0,56.0,26.0,54,67,39,68,78,56,75.0,50.0,62.0,90.0,76.0,83.0,31.70731707317073,25.925925925925924,33.87096774193548
 Karnataka,56.0,67.0,44.0,67,76,57,76,83,68,78.0,60.0,69.0,91.0,82.0,86.0,19.642857142857142,13.432835820895523,24.637681159420293
 Kerala,90.0,94.0,86.0,91,94,88,94,96,92,95.0,91.0,93.0,97.0,93.0,95.0,1.1111111111111112,3.296703296703297,2.1505376344086025
 Madhya Pradesh,45.0,59.0,29.0,64,76,50,71,81,60,77.0,53.0,65.0,90.0,77.0,84.0,42.22222222222222,10.9375,29.230769230769234
 Maharashtra,65.0,77.0,52.0,77,86,67,83,90,75,86.0,67.0,77.0,94.0,85.0,90.0,18.461538461538463,7.792207792207792,16.883116883116884
 Manipur,60.0,72.0,48.0,71,80,61,80,86,73,84.0,70.0,77.0,92.0,80.0,86.0,18.333333333333332,12.676056338028168,11.688311688311687
 Meghalaya,49.0,53.0,45.0,63,65,60,75,77,78,73.0,69.0,71.0,93.0,89.0,91.0,28.57142857142857,19.047619047619047,28.169014084507044
 Mizoram,82.0,86.0,79.0,89,91,87,92,94,89,88.0,80.0,84.0,99.0,98.0,98.0,8.536585365853659,3.3707865168539324,16.666666666666664
 Nagaland,62.0,68.0,55.0,67,71,62,80,83,77,79.0,72.0,76.0,92.0,88.0,90.0,8.064516129032258,19.402985074626866,18.421052631578945
 Odisha,49.0,63.0,35.0,63,75,51,73,82,64,80.0,61.0,71.0,92.0,81.0,86.0,28.57142857142857,15.873015873015872,21.12676056338028
 Punjab,59.0,66.0,50.0,70,75,63,77,81,71,78.0,66.0,72.0,87.0,80.0,84.0,18.64406779661017,10.0,16.666666666666664
